Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Программист 1С,ООО Лидерпак,от 90 000 ₽ на руки,https://tomsk.hh.ru/vacancy/98617163?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Головное подразделение Сибагро,138 000 – 175 000 ₽ на руки,https://tomsk.hh.ru/vacancy/92129406?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Томское молоко,от 160 000 ₽ на руки,https://tomsk.hh.ru/vacancy/101028119?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,КРОН,230 000 – 320 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/78000106?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Фабрика мебели Витра,97 000 – 175 000 ₽ на руки,https://tomsk.hh.ru/vacancy/97335400?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Томский инструментальный завод,до 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/99234664?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Fullstack разработчик,DAISYKNIT,от 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/100026404?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Начинающий программист 1С,Фабрика мебели Витра,82 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/91881686?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С,Фабрика мебели Витра,110 000 – 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/97335890?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик (1С-Битрикс),Userstory,от 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/95627492?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Национальный исследовательский Томский политехнический университет,150 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/97100558?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Техник-программист НТЦ ""Цифровая медицина и киберфизика""",СибГМУ,80 000 – 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/95064515?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Продакт Разработчик Python AI,LATOKEN,1 900 – 2 700 $ до вычета налогов,https://tomsk.hh.ru/vacancy/98570813?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Embedded разработчик C/C++,UserGate,от 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/98510580?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик,ООО ЛЭМЗ-Т,от 60 000 ₽ на руки,https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист станков с ЧПУ,ООО Бизнес Энерджи,100 000 – 150 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/101048259?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Flutter-разработчик,Userstory,от 140 000 ₽ на руки,https://tomsk.hh.ru/vacancy/95183200?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend разработчик Vue (Middle+/Senior),ООО Автопомощь,220 000 – 270 000 ₽ на руки,https://tomsk.hh.ru/vacancy/100520970?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Ruby on Rails,ИП Корнев Сергей Александрович,от 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/101117794?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Team Lead Backend Developer Node.js,ООО Криптон Студио,до 300 000 ₽ на руки,https://tomsk.hh.ru/vacancy/100359008?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Фабрика Мебельных Фасадов «Ирбис»,от 120 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/95874190?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
